

Started: 2016-07-18 16:43:37.146603.
>>> ./output/auto_encoder_3D.txt
Autoencoder OK.
23314050 parameters
Functions OK.
Data OK.
Training over 500 Epochs...
Epoch     TL                  VL                  Time                
1         0.228683827537      0.219850049132      4.98484301567       
2         0.227321122838      0.181715469985      5.03002905846       
3         0.0738038392645     0.0649649362479     5.03836202621       
4         0.0680808247906     0.0640034838801     5.0081949234        
5         0.0670876705853     0.0633462752615     5.02584695816       
6         0.0663045850573     0.062580556387      5.01340198517       
7         0.0656118677689     0.0621106035653     5.02347803116       
8         0.0648462756878     0.0616744919902     4.98545312881       
9         0.0646447148358     0.0619843233199     5.00822806358       
10        0.0642375337089     0.0606472055827     4.98717689514       
11        0.0638039674942     0.0605427016105     4.98988199234       
12        0.0635578089421     0.0602238249211     4.9819419384        
13        0.0633231134034     0.0602588300549     4.9901330471        
14        0.0630240736917     0.0596464781889     5.02856397629       
15        0.0628190009237     0.0599833258561     4.95695304871       
16        0.0624952271654     0.0588013182084     4.97921490669       
17        0.061483708238      0.0577717554711     4.98362994194       
18        0.0598463699738     0.0565736174938     5.01010704041       
19        0.0588633038546     0.055774358589      4.96828913689       
20        0.0581820298835     0.0552432205351     4.99092388153       
21        0.0576881770008     0.0551133854758     4.99971413612       
22        0.0572022073118     0.0544520873754     4.97929096222       
23        0.0567320702911     0.0536879925501     4.99674892426       
24        0.0561046158471     0.0535466568101     4.9707300663        
25        0.0557367047018     0.0529419495946     4.99948382378       
26        0.0552705704502     0.0524281158689     5.01047182083       
27        0.0549446403759     0.0519055144063     5.01707601547       
28        0.0546579473089     0.0518702108945     4.98310899734       
29        0.0543439439913     0.0516894810966     5.01723599434       
30        0.0541981127076     0.0511425375229     4.99986195564       
31        0.0539670624577     0.0511060502558     4.97230005264       
32        0.0537127739575     0.0509047524205     4.9971280098        
33        0.053591192285      0.0506772014002     4.98972415924       
34        0.0533472968284     0.0506258369202     4.9928920269        
35        0.0530126921021     0.0501248307881     4.99782896042       
36        0.0526701126727     0.0493535413629     5.03990101814       
37        0.0520907256863     0.0488337111615     4.98113799095       
38        0.051400720483      0.0484527642173     4.98903989792       
39        0.0505789176441     0.0472861842385     5.00062298775       
40        0.0498926175924     0.0467423566041     4.99182987213       
41        0.0492517087277     0.0463089705223     4.98354291916       
42        0.0487901421983     0.0463118107901     4.9710958004        
43        0.0483145821876     0.0454489608251     5.00296282768       
44        0.0479163525645     0.0449221018879     4.99345397949       
45        0.0475240256453     0.0448794214144     5.01348495483       
46        0.0471485997781     0.0444601694388     4.95289707184       
47        0.046724082441      0.0440390070989     5.00714087486       
48        0.0464105927339     0.0435325453679     4.97926402092       
49        0.0460374654077     0.0431174930362     4.97022199631       
50        0.0457527350893     0.0428779178432     4.98940086365       
51        0.0454376256554     0.0430642306095     4.98177981377       
52        0.0452597312039     0.0424067046316     4.95011997223       
53        0.0449234161268     0.0419486573055     5.00013494492       
54        0.04468982995       0.0420719963454     4.97522997856       
55        0.044455422402      0.0419955101042     4.97087001801       
56        0.044258860779      0.0411946120716     4.98802399635       
57        0.0440334396271     0.041217372531      4.9995610714        
58        0.0438390752614     0.0413415675007     5.01215696335       
59        0.0436139291171     0.0406787042462     4.99960780144       
60        0.0435037188379     0.040859306852      4.98673200607       
61        0.0432245206494     0.0409021368694     4.96268010139       
62        0.0431051936996     0.0405728811664     4.97973680496       
63        0.0428682436226     0.0399610300859     4.97882890701       
64        0.0426066077434     0.0401533258458     4.98005700111       
65        0.0425828365185     0.0400815375504     4.98122692108       
66        0.0423888855494     0.0392857099928     4.99830698967       
